url,title,description,author,published_date,image_url,content_length,subjects
https://kids.nationalgeographic.com/moment-of/article/moment-of-fresh-water,Moment of Fresh Water,,Allyson Shaw,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",113,"Fresh Water, Freshwater fish, Animals, American alligators, Amazon river dolphins, Turtles, Lake sturgeon, Salamanders, Beetles"
https://kids.nationalgeographic.com/moment-of/article/moment-of-bling,Moment of Bling,"Grab some sunglasses to check out this glittering gallery of giant gems, jaw-dropping jewels, and flashy foods.",Rose Davidson,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",903,
https://kids.nationalgeographic.com/moment-of/article/moment-of-burrow,Moment of Burrow,Snuggle down! Burrows are holes or tunnels that protect all kinds of animals from things like extreme weather and predators. Get cozy and dig into these photos.,Allyson Shaw,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",0,"Burrowing owls, Groundhog"
https://kids.nationalgeographic.com/moment-of/article/moment-of-cool,Moment of Cool,"Critters like jaguars and hippos might be found in hot spots, but we think they’re supercool. Meet eight cute animals that live in warm places.",Laura Goertzel,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",13,
https://kids.nationalgeographic.com/moment-of/article/moment-of-tree,Moment of Tree,,Laura Goertzel,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",957,"Animals, Joshua Tree"
https://kids.nationalgeographic.com/moment-of/article/moment-of-aww-moms,Moment of Aw!,"Here are some crazy-cute photos of animal moms and their babies. From cuddly koalas to affectionate alligators, these pics will make you want to give your mom a hug!",Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",785,"Koala, American alligators, Humpback Whale, Photography"
https://kids.nationalgeographic.com/moment-of/article/moment-of-joy,Moment of Joy,"What makes you happy? We’ve rounded up 10 animals that know how to have a good time. From playful polar bears to silly stingrays to happy hounds, this gallery will put a smile on your face.",Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",785,"Animal Behavior, Photography"
https://kids.nationalgeographic.com/moment-of/article/moment-of-huh-4,Moment of Huh?,"With computer programs, animals in photographs can appear to do just about anything—including ride a motorcycle! Check out tricky pics that'll make you do a double take.",Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",785,"Proboscis Monkey, Ocean Sunfish (Mola), Sea cucumbers, Photography"
https://kids.nationalgeographic.com/moment-of/article/moment-of-wow-snakes,Moment of Wow: Snakes,National Geographic explorer Joel Sartore wants to document every captive species in the world in a project called Photo Ark. Check out some of his wow-worthy shots of snakes.,Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",1111,Photography
https://kids.nationalgeographic.com/moment-of/article/moment-of-wow-2,Moment of Wow,"No need to give these animals a pinch on St. Patrick’s Day—they’re naturally green! Click through to see frogs, luna moths, sloths, and more.",Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",785,"Mammals, Three-Toed Sloths, Frogs, Moths, Geckos, Photography"
https://kids.nationalgeographic.com/moment-of/article/moment-of-joy-2,Moment of Joy,,Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",895,"Predators, Mammals, Insects, Tigers, Photography"
https://kids.nationalgeographic.com/moment-of/article/moment-of-snooze,Moment of Snooze,"Don’t hit the snooze button! These photos of sleepy sea lions, bears, frogs, and more are the perfect wake-up call.",Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",785,"Mammals, Iguana, Tarsier, Adélie penguins, Sea Otter, Red-Eyed Tree Frog, Koala, Photography"
https://kids.nationalgeographic.com/moment-of/article/moment-of-yikes,Moment of Yikes!,"From the tops of trees to the bottom of the ocean, nature is full of strange and creepy creatures. We’ve rounded up 10 of the freakiest animals that are sure to make you say, ""Yikes!""",Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",785,"Aye-ayes, Anglerfish, Common Vampire Bat, Crocodiles, Cheetahs"
https://kids.nationalgeographic.com/moment-of/article/moment-of-oops,Moment of Oops!,"What’s your most embarrassing moment? From stuck squirrels to clumsy cats to fumbling frogs, we’ve rounded up 10 silly animals that were probably thinking, Oops!",Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",785,"Hamsters, Tortoises, Goats, Carnivorous Plants, Domestic dogs, Photography, Animals, Bengal Tiger, Toads, Giant Panda, Frogs"
https://kids.nationalgeographic.com/moment-of/article/moment-of-yum,Moment of Yum!,"Don’t keep clicking if you’re hungry! From snacking shrews to munching monkeys to grazing giraffes, these photos will make you say, ""Yum!""",Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",785,"Animal Behavior, Giant Panda, Birds, European Starling, Chipmunks, Giraffe, Humpback Whale, Monkeys, Polar Bear, Brown Bear, Tortoises, Turtles, Photography"
https://kids.nationalgeographic.com/moment-of/article/moment-of-wow,Moment of Wow!,"Nature is full of amazing plants and animals that come in all different colors and shapes. From mandrills to chameleons to peacock mantis shrimp, this photo gallery is full of creatures so crazy you’ll want to say, ""Wow!""",Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",785,"Hummingbirds, Octopuses, Caterpillars, Mandrill, Shrimp, Nudibranchs, Birds, Chameleons, Poisonous Animals, Poison Dart Frogs, Parrotfish, Photography"
https://kids.nationalgeographic.com/moment-of/article/moment-of-huh-2,Moment of Huh?,"Are you ready to be amazed and confused? From vampire deer to invisible butterflies to blind salamanders, these ten animals will make you say, ""Huh?""",Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",785,"Salamanders, Butterflies, Parrotfish, Animals, Pelicans, Frogs, Clownfish, Caterpillars"
https://kids.nationalgeographic.com/moment-of/article/moment-of-huh,Moment of Huh?,"From fairy circles to rainbow trees to zebra horses, these weird, wacky, and wild wonders of the natural world will make you say, ""Huh?""",Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",785,"Animals, Goats, Caterpillars, Larvae, Rabbits, Algae Bloom, Mysterious places, Spiders, Bioluminescence, Eucalyptus, Wonders of the World, Photography"
https://kids.nationalgeographic.com/moment-of/article/moment-of-yikes-2,Moment of Yikes!,"From the fearsome ogre-faced spider to the mighty colossal squid, these odd animals will give you the heebie-jeebies.",Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",785,"Fossa, Geckos, Eels, Fish, Squid, Giant Squid, Baboons, Bald Uakari, Spiders"
https://kids.nationalgeographic.com/moment-of/article/moment-of-brr,Moment of Brr!,"Feeling chilly? Let this adorable gallery warm you up. From belly-surfing otters to diving foxes, these animals are truly cool.",Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",785,"Predators, Mammals, Insects, Snow leopards, Tigers, Giant Panda, Photography"
https://kids.nationalgeographic.com/moment-of/article/moment-of-eww,Moment of Eww!,"Not all animals are cuddly, but every creature is an important part of our ecosystem. Slimy hagfish, scaly snakes, and icky insects are altogether awesome—even if they do make you go 'eww!'",Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",785,"Cicadas, Seals, Snakes, Naked Mole Rat, Camel Spider, Scarabs, Fish, Insects, Arachnids, Invertebrates, Bacteria, Photography"
https://kids.nationalgeographic.com/moment-of/article/moment-of-eww-2,Moment of Eww!,"Ick alert! We’ve rounded up ten of the grossest animals you’ll see this week. From flesh-eating vultures to toxin-spraying beetles, this photo gallery of nature’s nastiest animals will make you say, “eww!”",Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",785,"Bacteria, Photography"
https://kids.nationalgeographic.com/moment-of/article/moment-of-aww-2,Moment of Aw!,,Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",968,Mythology
https://kids.nationalgeographic.com/moment-of/article/moment-of-aww,Moment of Aw!,"Cute alert! We’ve rounded up ten of the most adorable animals you’ll see this week, from lemurs to elephants to arctic fox pups. If you're in the mood to 'aww' out loud, these cuties should help.",Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",785,"Animals, Photography"
https://kids.nationalgeographic.com/moment-of/article/moment-of-oops-2,Moment of Oops!,"We all make mistakes—even animals. Check out these silly photos of slipups, sticky situations, and tight spots made by lions, elephants, dogs, and more!",Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",785,"Lion, Elephants, Monkeys, Photography"
https://kids.nationalgeographic.com/moment-of/article/moment-of-huh-3,Moment of Huh?,"What is that? From pink lakes to superb birds, these photos will make you do a double take.",Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",785,"Proboscis Monkey, Ocean Sunfish (Mola), Sea cucumbers, Photography"
https://kids.nationalgeographic.com/moment-of/article/moment-of-wow-patterns,Moment of Wow!,"Stop and see the nature. Check out these eight jaw-dropping photos of crazy-cool patterns made by zebras, bats, and more!",Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",785,"Parrotfish, Plains zebras, Bats, Photography"
https://kids.nationalgeographic.com/moment-of/article/moment-of-eww-3,Moment of Eww!,"From freaky fish to a foul fowl, meet a few of nature’s grossest creatures.",Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",785,"Animals, California condors, Photography"
https://kids.nationalgeographic.com/moment-of/article/moment-of-yum-2,Moment of Yum!,"Is it lunchtime yet? From peckish primates to snacking snakes, these photos of critters chowing down might make you wish for a snack.",Unknown,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",785,"Egrets, Amphibians, Seabirds, Arctic skuas (Parasitic jaegers), Reptiles, Snakes, Lizards, Chameleons, Predators, Mammals, Anteaters, Insects, Giant anteaters, Apes, Orangutans, Photography"
https://kids.nationalgeographic.com/moment-of/article/moment-of-yum-3,Moment of Yum: Animal Eats!,"Every creature has to eat—from crabs to orangutans, leatherback sea turtles to chameleons. So grab a snack and check out some hungry critters.",Unknown,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",799,"Orangutans, Photography"
